Date,ZIP Code,Model Year,Fuel,Make,Duty,Vehicles,ZIP,latitude,longitude
12/31/2023,90230,2015,Battery Electric,OTHER/UNK,Light,14,90230,33.9969705,-118.3947783
12/31/2023,91011,2017,Battery Electric,OTHER/UNK,Light,22,91011,34.2175576,-118.2034276
12/31/2023,90247,2015,Battery Electric,OTHER/UNK,Light,10,90247,33.8915773,-118.2973475
12/31/2023,91030,2014,Battery Electric,OTHER/UNK,Light,5,91030,34.1103024,-118.1574383
12/31/2023,90210,2014,Battery Electric,OTHER/UNK,Light,3,90210,34.1025082,-118.4150723
12/31/2023,90272,2024,Battery Electric,OTHER/UNK,Light,25,90272,34.0793554,-118.5444933
12/31/2023,90605,2021,Battery Electric,OTHER/UNK,Light,15,90605,33.9520628,-118.0208881
12/31/2023,90035,2016,Battery Electric,OTHER/UNK,Light,13,90035,34.0514263,-118.3857654
12/31/2023,90403,2019,Battery Electric,OTHER/UNK,Light,33,90403,34.0302285,-118.4914025
12/31/2023,90660,2017,Battery Electric,OTHER/UNK,Light,6,90660,33.9887026,-118.0910637
12/31/2023,91606,2015,Battery Electric,OTHER/UNK,Light,8,91606,34.1865232,-118.3886066
12/31/2023,91406,2023,Battery Electric,VOLVO,Light,12,91406,34.1978905,-118.4899087
12/31/2023,90035,2018,Battery Electric,OTHER/UNK,Light,22,90035,34.0514263,-118.3857654
12/31/2023,90065,2017,Battery Electric,OTHER/UNK,Light,29,90065,34.1086636,-118.2281108
12/31/2023,91732,2016,Battery Electric,OTHER/UNK,Light,18,91732,34.0724071,-118.0145239
12/31/2023,91214,2017,Battery Electric,OTHER/UNK,Light,29,91214,34.2375495,-118.2478097
12/31/2023,90013,2018,Battery Electric,OTHER/UNK,Light,14,90013,34.0443117,-118.2400266
12/31/2023,90063,2023,Battery Electric,FORD,Light,25,90063,34.0452484,-118.1857803
12/31/2023,90031,2023,Battery Electric,OTHER/UNK,Light,67,90031,34.0812331,-118.2108252
12/31/2023,90806,2019,Battery Electric,CHEVROLET,Light,53,90806,33.8082061,-118.1779501
12/31/2023,90027,2023,Battery Electric,CHEVROLET,Light,32,90027,34.1251712,-118.2904963
12/31/2023,90266,2023,Battery Electric,CHEVROLET,Light,29,90266,33.8916143,-118.4033236
12/31/2023,91803,2017,Battery Electric,OTHER/UNK,Light,15,91803,34.0748784,-118.1462429
12/31/2023,90063,2019,Battery Electric,CHEVROLET,Light,18,90063,34.0452484,-118.1857803
12/31/2023,90041,2019,Battery Electric,OTHER/UNK,Light,34,90041,34.137546,-118.2074407
12/31/2023,90046,2020,Battery Electric,CHEVROLET,Light,12,90046,34.1075914,-118.365712
